1,8.72
2,7.98
3,5.78
4,8.39
5,8.47
6,8.36
7,8.85
8,9.02
9,6.74
10,7.99
11,7.19
12,8.77
13,8.61
14,7.5
15,8.4
16,8.25
17,8.41
18,8.22
19,6.78
20,7.69
21,7.69
22,7.85
23,8.19
24,8.22
25,8.77
26,9.18
27,8.3
28,8.26
29,8.54
30,8.98
31,9.43
32,8.1
33,7.9
34,7.68
35,7.86
36,7.36
37,8.26
38,8.03
39,8.45
40,8.33
41,7.98
42,8.23
43,8.09
44,8.23
45,8.53
46,8.35
47,8.27
48,8.51
49,8.67
50,8.51
51,8.48
52,8.59
53,8.58
54,8.5
55,8.84
56,8.56
57,8.43
58,8.28
59,7.63
60,7.08
61,6.92
62,6.86
63,7.05
64,7.74
65,7.59
66,7.24
67,6.94
68,6.98
69,7.83
70,7.37
71,7.62
72,8.09
73,8.19
74,7.72
75,8.55
76,8.39
77,8.36
78,8.81
79,8.17
80,7.94
81,8.52
82,7.64
83,7.45
84,8.01
85,8.15
86,7.39
87,7.7
88,7.38
89,7.51
90,7.63
91,7.8
92,7.69
93,8.02
94,8.17
95,7.65
96,7.85
97,8.55
98,8.09
99,7.98
100,7.98
101,7.9
102,8.18
103,8.1
104,8.04
105,8.21
106,8.11
107,8
108,7.76
109,8.1
110,8.25
111,7.96
112,7.85
113,7.56
114,8.11
115,7.98
116,8.18
117,8.29
118,8.44
119,8.25
120,8.43
121,8.2
122,8.12
123,8.19
124,8.35
125,8.43
126,7.86
127,8.08
128,8.54
129,8.83
130,8.17
131,8.12
132,8.27
133,8.13
134,7.98
135,7.77
136,7.92
137,7.95
138,7.91
139,8.09
140,8.32
141,7.97
142,8.02
143,8.07
144,8.06
145,8.16
146,8.15
147,8.21
148,8.29
149,8.18
150,8.4
151,8.5
152,8.54
153,8.3
154,8.22
155,8.09
156,8.23
157,8.38
158,7.95
159,8.19
160,8.18
161,8.22
162,8.18
163,8.17
164,8.3
165,8.59
166,8.59
167,8.23
168,8.02
169,8.13
170,8.38
171,8.36
172,8.57
173,8.41
174,8.42
175,8.51
176,8.53
177,8.73
178,8.52
179,8.63
180,8.24
181,8.63
182,8.72
183,8.71
184,8.34
185,8.63
186,8.52
187,8.55
188,8.7
189,8.86
190,8.76
191,8.76
192,8.77
193,8.73
194,8.76
195,8.85
196,8.58
197,8.68
198,8.8
199,8.75
200,8.59
201,8.37
202,8.63
203,8.64
204,8.87
205,8.56
206,8.63
207,8.28
208,8.73
209,8.77
210,8.73
211,8.58
212,8.8
213,8.75
214,8.86
215,8.41
216,8.53
217,8.6
218,8.7
219,8.52
220,8.6
221,8.7
222,8.6
223,8.5
224,8.95
225,8.47
226,8.74
227,8.35
228,8.85
229,8.69
230,8.73
231,8.98
232,9.17
233,8.64
234,9.03
235,8.69
236,8.66
237,8.83
238,8.99
239,9.2
240,8.92
241,9.23
242,9.18
243,8.84
244,8.87
245,9.04
246,9.35
247,9.04
248,9.2
249,9.52
250,9.29
251,9.2
252,9.41
253,9.57
254,9.53
255,9.32
256,9.7
257,9.53
258,9.73
259,9.43
260,9.51
261,9.7
262,9.52
263,9.51
264,9.61
